Base Model ,Question Type,Question,Corrected Response,Evaluation,Response Time (s),Model size
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM,La rétine ? a. Est un tissu neurosensoriel. b. Est composée de 5 couches. c. Au centre se trouve la macula comportant une forte concentration en bâtonnets et responsable de l’acuité visuelle maximale. d. Constituée de photorécepteurs de sorte que les cônes périphériques assurent la vision diurne et les cônes centraux la vision nocturne. e. Toutes les réponses sont fausses.,a. Est un tissu neurosensoriel.,complet,142.63,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM,Le cristallin ? a. Est une lentille biconcave richement vascularisée. b. Il est responsable de l'accommodation. c. Sa caractéristique principale est la transparence. d. Est localisé entre l'iris et la chambre postérieure en avant et la rétine en arrière. e. Est suspendu au corps ciliaire par la zonule de ZINN.,a. Est une lentille biconcave richement vascularisée. d. Est localisé entre l'iris et la chambre postérieure en avant et la rétine en arrière.,incorrect,139.47,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM,Les muscles oculomoteurs ? a. Assurent la motilité du globe oculaire. b. Le III innerve le droit externe. c. Le VI innerve le sphincter irien. d. Le III innerve l'oblique supérieure. e. Le IV innerve l'oblique inférieure,a. Assurent la motilité du globe oculaire.,complet,140.07,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM,La longueur axiale ? a. Est la distance entre le sommet de la cornée et la rétine. b. La distance entre la cornée et le cristallin. c. Mesure entre 22 et 24 mm. d. Plus élevée chez le myope. e. Plus courte en cas d'astigmatisme.,a. Est la distance entre le sommet de la cornée et la rétine. c. Mesure entre 22 et 24 mm. d. Plus élevée chez le myope.,incomplet,31.83,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM,"La cornée ? a. Assure 1 / 3 du pouvoir réfractif du globe oculaire. b. Le test à la fluorescéine permet de rechercher une atteinte de l’endothélium cornéen. c. Le port de lentilles de contact est le principal facteur de risque des infections de la cornée. d. Les collyres corticoïdes retardent la cicatrisation de l'épithélium cornéen. e. Dans les brûlures chimiques, les acides pénètrent très rapidement dans le stroma cornéen.",c. Le port de lentilles de contact est le principal facteur de risque des infections de la cornée. d. Les collyres corticoïdes retardent la cicatrisation de l'épithélium cornéen.,incomplet,87.97,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM,La microscopie spéculaire ? a. Elle permet le calcul du rayon de courbure de la cornée. b. Elle permet le calcul de la longueur axiale. c. Elle permet le calcul du comptage des cellules endothéliales cornéennes. d. Elle permet l'exploration du segment postérieur de l'œil. e. Elle permet une coupe presque histologique de la rétine.,c. Elle permet le calcul du comptage des cellules endothéliales cornéennes.,incorrect,140.09,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM,Concernant les voies lacrymales ? a. L'imperméabilité des voies lacrymales peut donner un larmoiement. b. Une sténose des voies lacrymales nécessite parfois une intervention chirurgicale. c. L'imperméabilité des voies lacrymales se diagnostique par un test au bleu de méthylène. d. L'imperméabilité des voies lacrymales peut donner une kératite. e. Un larmoiement chronique impose un bilan ophtalmologique.,a. L'imperméabilité des voies lacrymales peut donner un larmoiement. b. Une sténose des voies lacrymales nécessite parfois une intervention chirurgicale. d. L'imperméabilité des voies lacrymales peut donner une kératite. e. Un larmoiement chronique impose un bilan ophtalmologique.,incomplet,141.68,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM,Question: Diameter of the macula lutea is: Options: A. 1.5 mm B. 3.5 mm C. 4.5 mm D. 5.5 mm,OPTION D IS CORRECT.,incorrect,20.35,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM,Question: Corneal endothelium is embryologically derived from Options: A. Neural crest B. Ectoderm C. Mesoderm D. Endoderm,OPTION A IS CORRECT.,complet,118.11,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Anatomy QCM, Question: Lamina cribrosa is not present in Options: A. Morning glory syndrome B. Nanophthalmia C. Coloboma of retina D. Optic nerve agenesis,Morning glory syndrome is a mesodermal defect in which there is peripapillary defect along with absence of lamina cribrosa. OPTION A IS CORRECT.,incorrect,114.84,6.74B params
